Ethnic_Code_Text,RawScore
Caucasian,-1.06
Caucasian,-1.5
African-American,0.18
African-American,-0.53
African-American,-1.55
Hispanic,0.71
Caucasian,-1.74
African-American,0.38
Caucasian,-1.31
African-American,0.06
Caucasian,-1.66
Caucasian,-1.67
African-American,-1
African-American,-0.57
African-American,-2.11
Caucasian,-1.29
Caucasian,-0.36
Caucasian,-0.75
African-American,-1.54
African-American,-0.02
Caucasian,-0.9
Caucasian,-1.18
African-American,-1.79
African-American,0.31
Caucasian,0
African-American,0.48
Caucasian,0.49
African-American,0.57
African-American,0.41
Caucasian,-0.11
African-American,-1.56
Caucasian,-2.61
Hispanic,-0.26
Caucasian,-1.9
African-American,-1.01
African-American,-0.17
Caucasian,-1
Caucasian,-0.47
African-American,0.14
African-American,-0.06
African-American,0.5
African-American,-1.92
Caucasian,-0.93
African-American,-0.53
Caucasian,0.37
African-American,-0.25
African-American,-0.29
African-American,0.32
Caucasian,-1.44
African-American,-0.94
African-American,-1.36
Hispanic,-1.69
African-American,-1.87
Hispanic,-0.47
African-American,-0.8
African-American,-1.63
Caucasian,-2.33
Caucasian,-1.57
African-American,-1.31
Caucasian,-1.13
Hispanic,-0.95
African-American,-0.06
African-American,-0.43
Caucasian,-2.37
African-American,-0.2
Caucasian,-1.18
African-American,-1.09
African-American,-0.65
African-American,0.17
African-American,-0.84
African-American,0.95
Caucasian,-0.01
Caucasian,-1.2
Caucasian,0.35
African-American,-0.81
African-American,0.08
African-American,-0.51
Caucasian,-0.36
African-American,-0.11
Asian,0.09
African-American,-1.42
Hispanic,-1.14
African-American,-0.08
Caucasian,-0.49
African-American,0.3
African-American,-0.45
Caucasian,-1.14
African-American,0.31
Caucasian,-0.41
Caucasian,0.34
African-American,-0.67
African-American,-0.04
Hispanic,-1
African-American,-1.27
Hispanic,-1.04
African-American,-0.55
African-American,0.06
Caucasian,-0.09
African-American,-1
African-American,0.68
Caucasian,-0.27
African-American,0.18
Hispanic,-1.83
Caucasian,-0.7
African-American,0.24
African-American,0.38
African-American,-1.12
African-American,-0.16
Caucasian,-0.29
Caucasian,-2.79
African-American,0.33
African-American,0.76
Hispanic,-0.36
Caucasian,-0.37
African-American,-0.31
African-American,-0.21
African-American,-0.99
African-American,-0.61
Hispanic,-0.91
African-American,-1.03
African-American,-0.06
African-American,-0.35
Caucasian,-0.29
Hispanic,-1.12
Caucasian,-0.7
African-American,-0.15
African-American,0.72
African-American,-0.08
African-American,-0.77
African-American,-0.37
African-American,0.16
Caucasian,-0.69
African-American,-0.49
Caucasian,-2.22
African-American,0.6
Caucasian,-2.77
African-American,0.82
Caucasian,-0.41
African-American,-0.71
Caucasian,-1.84
Caucasian,0.61
Hispanic,-2.82
African-American,0.64
African-American,-1.68
African-American,-0.2
African-American,-0.32
Caucasian,-1.55
African-American,-1.39
African-American,-0.74
Caucasian,0.52
Caucasian,-0.58
African-American,-1.45
Hispanic,-2.74
African-American,-1.52
African-American,-0.49
African-American,-0.36
Hispanic,-1.09
Caucasian,-1.77
Caucasian,-0.71
Hispanic,-0.96
African-American,-0.29
African-American,0.85
Caucasian,-1.68
Caucasian,-0.44
Caucasian,-0.18
Caucasian,-1.03
African-American,-1.38
African-American,0.07
African-American,0.01
Caucasian,0.25
Caucasian,-0.99
Caucasian,-0.76
African-American,0.3
African-American,-0.54
Caucasian,-0.48
African-American,-0.54
Hispanic,-1.42
