Credit Amount,Sex & Marital Status
1049,2
2799,3
841,2
2122,3
2171,3
2241,3
3398,3
1361,3
1098,2
3758,2
3905,3
6187,4
1957,2
7582,3
1936,4
2647,3
3939,3
3213,4
2337,3
7228,3
3676,3
3124,3
2384,3
1424,3
4716,3
4771,3
652,2
1154,3
3556,3
4796,3
3017,3
3535,3
6614,3
1376,2
1721,3
860,2
1495,3
1934,3
3378,3
3868,2
996,2
1755,2
1028,2
2825,3
1239,3
1216,2
1258,3
1864,2
1474,4
1382,3
640,1
3919,3
1224,3
2331,3
6313,3
385,2
1655,3
1053,4
3160,3
3079,3
1163,3
2679,2
3578,3
10875,3
1344,3
1237,2
3077,3
2284,3
1567,2
2032,3
2745,3
1867,3
2299,3
929,3
3399,3
2030,3
3275,3
1940,3
1602,4
1979,3
2022,2
3342,3
5866,3
2360,3
1520,3
3651,3
2346,3
4454,2
666,2
1965,2
1995,3
2991,2
4221,2
1364,3
6361,3
4526,3
3573,2
4455,1
2136,3
5954,2
3777,3
806,2
4712,3
7432,2
1851,4
1393,3
1412,2
1473,4
1533,2
2012,2
3959,2
428,2
2366,1
763,2
3976,3
6260,3
1919,3
2603,2
936,3
3062,3
4795,2
5842,3
2063,4
1459,2
1213,3
5103,4
874,2
2978,3
1820,4
2872,3
1925,3
2515,3
2116,3
1453,2
1364,2
1543,1
1318,3
2325,3
932,2
3148,3
3835,2
3832,3
5084,2
2406,3
2394,2
2476,3
2964,3
1262,1
1542,3
1743,3
409,2
2171,2
8858,3
3512,3
1158,1
2684,3
1498,2
5954,3
6416,2
3617,3
1291,2
1275,1
3972,2
3343,3
392,2
2134,3
5771,2
4526,3
2788,2
1382,2
5848,3
1228,2
1297,4
1552,3
1963,3
3235,1
4139,3
1804,3
1950,3
12749,3
1236,2
1055,2
8072,3
2831,2
1449,2
5742,3
2390,3
3430,3
2273,3
2923,2
1901,3
3711,4
8487,2
2255,3
1262,3
7253,3
6761,3
1817,2
2141,3
3609,2
2333,3
7824,3
1445,3
7721,2
3763,3
4439,3
1107,3
1444,3
12169,3
2753,3
1494,3
2828,3
2483,3
1299,3
1549,3
3949,3
2901,2
709,4
10722,2
1287,3
1940,3
3656,3
4679,3
8613,3
2659,3
1516,2
4380,3
802,3
1572,2
3566,3
1278,3
426,4
8588,3
3857,1
685,4
1603,2
2241,3
2384,3
601,2
2569,3
1316,4
10366,3
1568,2
629,3
1750,3
3488,2
1800,3
4151,3
2631,2
5248,3
2899,3
6204,3
804,3
3595,3
5711,3
2687,3
3643,2
2146,2
2315,3
3448,3
2708,3
1393,2
1275,2
1313,3
1493,2
2675,3
2118,3
909,3
1258,2
1569,3
1236,3
7678,2
660,4
2835,3
2670,3
3447,2
3568,2
3652,3
3660,2
1126,1
683,2
2251,2
4675,2
2353,1
3357,2
672,2
338,3
2697,3
2507,3
1478,4
3565,3
2221,2
1898,3
1449,1
960,2
8133,2
2301,2
1743,3
983,2
2320,4
339,4
5152,3
3749,2
3074,3
745,2
1469,4
1374,3
783,3
2606,2
9436,3
930,3
2751,3
250,2
1201,3
662,3
1300,3
1559,3
3016,4
1360,3
1204,3
1597,3
2073,2
2142,1
2132,2
1546,3
1287,2
1418,3
1343,3
2662,3
6070,3
1927,2
2404,2
1554,2
1283,2
717,4
1747,3
1288,3
1038,3
2848,3
1413,3
3077,3
3632,2
3229,3
3577,3
682,2
1924,3
727,3
781,3
2121,3
701,3
2069,4
1525,2
7629,1
3499,2
1346,3
10477,3
2924,3
1231,3
1961,2
5045,2
1255,3
1858,2
1221,4
1388,2
2279,3
2759,3
1258,2
1410,3
1403,2
3021,1
6568,4
2578,3
7758,2
343,2
1591,3
3416,3
1108,3
5965,3
1514,3
6742,3
3650,2
3599,2
13756,3
276,4
4041,3
458,3
918,2
7393,3
1225,3
2812,2
3029,3
1480,3
1047,2
1471,3
5511,3
1206,2
6403,3
707,3
1503,4
6078,3
2528,2
1037,3
1352,2
3181,2
4594,3
5381,3
4657,3
1391,4
1913,4
7166,4
1409,2
2978,3
976,3
2375,3
522,3
2743,3
1154,2
5804,3
1169,3
1478,3
776,4
1322,2
1175,3
2133,2
1829,3
717,3
11760,3
1501,2
1200,2
3195,2
4530,2
1555,3
2326,3
1887,4
1264,3
846,3
1532,2
935,2
2442,3
3590,4
2288,2
5117,3
14179,3
1386,4
618,3
1574,3
700,3
886,2
4686,3
790,2
766,3
2212,3
7308,3
5743,2
3973,3
7418,3
2629,3
1941,3
2333,3
2445,4
6468,1
7374,3
3812,2
4006,3
7472,2
1424,2
2028,3
5324,2
2323,3
1393,3
1984,3
999,3
7409,3
2186,2
4473,3
937,4
3422,3
3105,3
2748,2
3872,2
5190,3
3001,2
3863,3
5801,3
1592,2
1185,2
3780,1
3612,2
1076,4
3527,3
2051,3
3331,3
3104,3
2611,4
1409,3
1311,4
2108,4
4042,3
926,2
1680,4
1249,4
2463,4
1595,3
2058,1
7814,3
1740,4
1240,2
6842,3
5150,3
1203,3
2080,4
1538,2
3878,1
3832,4
3186,2
2896,3
6967,3
1819,3
5943,2
7127,2
3349,2
10974,2
518,2
1126,2
1860,3
9566,2
701,4
2930,2
1505,3
2238,2
1503,3
2197,3
1881,2
1880,4
2389,2
1967,2
3380,2
1455,3
730,3
3244,2
1670,2
3979,3
1922,3
1295,2
1544,3
907,4
1715,2
1347,3
1007,4
1402,2
2002,3
2096,3
1101,4
894,2
1577,2
2764,2
8358,2
1474,2
5433,2
1410,4
3485,1
3850,3
7408,2
1377,2
4272,3
1553,2
9857,3
362,2
1935,3
10222,3
1330,3
9055,3
7966,3
3496,3
6948,3
12204,3
3446,3
684,3
4281,2
7174,2
1546,3
2359,1
3621,3
741,2
7865,3
2910,3
5302,3
3620,3
3509,2
3017,2
1657,3
1164,3
6229,2
1193,2
4583,1
5371,3
708,3
571,3
2522,3
5179,3
8229,3
2028,3
1374,2
1289,3
2712,3
975,1
1050,3
609,2
4788,3
3069,3
836,2
2577,1
1620,2
1845,2
6579,3
1893,2
10623,3
2249,3
3108,1
958,3
9277,1
6314,3
1526,3
3590,3
6615,3
1872,3
2859,3
1582,3
1238,3
2578,2
1433,2
7882,3
4169,3
3959,3
3249,3
3149,3
2246,3
1797,3
4272,2
2957,3
2348,4
6289,1
6419,2
6143,2
1597,3
15857,1
2223,3
7238,3
2503,3
2622,3
4351,2
368,3
754,3
2424,3
6681,3
2427,3
1216,3
753,2
2576,3
590,4
1414,3
1103,3
585,4
1068,3
713,3
1092,2
2329,2
882,3
866,4
2415,3
2101,2
1301,4
1113,2
760,2
625,4
1323,1
1138,3
1795,2
2728,3
484,4
1048,3
1155,4
7057,3
1537,3
2214,3
1585,3
1521,1
3990,2
3049,2
1282,2
10144,2
1168,4
454,4
3594,2
1768,3
15653,3
2247,2
1413,4
4576,3
1231,2
8335,3
5800,3
8471,2
3622,2
1169,3
1262,3
3617,3
2181,3
7685,2
6110,3
3757,2
3394,3
6304,3
1244,2
3518,3
2613,3
7476,3
4591,3
1924,2
5595,4
6224,3
1905,3
2993,3
8947,3
4020,3
2779,4
2782,2
1884,3
11054,3
9157,3
9283,3
6527,3
3368,3
2511,2
5493,3
1338,1
1082,3
1149,3
1308,3
6148,4
1736,2
3059,1
2996,4
7596,3
4811,2
1766,4
2760,3
5507,3
1199,2
2892,1
2862,3
654,3
1136,3
4113,2
14555,3
950,3
1199,3
1082,3
2150,2
2820,1
3060,3
2600,3
5003,2
6288,3
2538,3
1478,3
4933,3
1530,3
1437,3
1275,2
1823,3
1422,3
1217,4
9271,3
2145,3
1842,2
4297,1
3384,1
1245,4
4623,3
8386,3
1024,4
14318,3
433,2
2149,1
2397,3
931,2
1512,4
4241,3
4736,2
1778,2
2327,2
6872,1
795,2
1908,3
1953,3
2864,3
2319,1
915,2
947,3
1381,2
1285,2
1371,2
1042,2
900,4
1207,2
2278,2
6836,3
3345,3
1198,2
15672,3
7297,3
1943,2
3190,2
5129,2
1808,2
1240,2
759,3
1237,2
1980,2
10961,3
6887,3
1938,1
1835,2
1659,2
1209,3
3844,3
4843,3
639,3
5951,2
3804,2
4463,3
7980,3
4210,3
4611,2
11560,2
4165,3
4057,1
6458,3
1386,2
1977,3
1928,3
1123,2
11328,3
11938,3
2520,3
1919,3
14782,2
2671,2
12612,3
3031,3
626,2
1935,1
1344,3
1533,4
3931,3
3349,3
2302,1
3965,3
727,4
3914,1
4308,2
1534,4
2775,3
5998,3
1271,3
1295,2
9398,4
951,2
1355,2
3051,3
7855,2
433,2
9572,1
1837,2
4249,4
5234,4
6758,2
1366,2
1358,3
2473,3
1337,3
7763,3
1264,4
2631,2
6560,3
3123,2
8065,2
2439,2
9034,3
14027,3
9629,3
1484,4
1131,2
2064,2
12976,2
2580,3
2570,2
3915,3
1309,3
4817,3
2579,3
2225,3
4153,3
3114,2
2124,2
1553,3
2406,2
1333,3
7119,3
4870,3
691,3
4370,3
2746,3
4110,3
2462,3
1282,2
2969,2
4605,3
6331,3
3552,3
697,3
1442,2
5293,3
3414,3
2039,2
3161,3
902,4
10297,3
14421,3
1056,3
1274,2
1223,1
1372,1
2625,3
2235,4
959,2
884,3
1246,3
8086,3
10127,3
888,3
719,3
12389,3
709,3
6850,3
2210,3
7485,2
1442,3
797,2
4746,3
939,4
1188,2
11590,2
609,2
1190,2
2767,1
3441,2
4280,2
3092,4
6761,3
1331,3
15945,3
3234,2
802,3
9960,2
8648,3
1345,4
1845,3
1647,3
4844,3
8318,2
2100,3
11816,3
448,2
11998,1
18424,2
14896,3
2762,2
3386,3
2039,4
2169,4
5096,2
1882,2
6999,4
2292,3
8978,1
674,4
976,2
2718,2
750,2
12579,2
7511,3
3966,2
6199,3
1987,3
2303,3
12680,3
6468,3
6350,3
