PGNATION,PGLABGRO
1,0
1,0
1,102
1,0
1,79
1,150
1,150
1,150
1,80
1,99
1,150
1,102
1,128
1,150
1,0
1,150
1,113
1,102
1,0
1,151
1,120
1,150
1,100
1,80
1,0
1,115
1,80
1,102
1,57
1,67
1,149
1,102
1,140
1,112
1,129
1,125
1,150
1,102
1,77
1,80
1,0
1,56
1,0
1,0
1,102
1,95
1,77
1,102
1,110
1,0
1,51
1,83
1,102
1,82
1,102
1,102
1,102
1,102
1,77
1,102
1,102
1,25
1,77
1,40
1,20
1,51
1,82
1,150
1,150
1,122
1,126
1,125
1,137
1,135
1,145
1,102
1,0
1,134
1,147
1,120
1,120
1,77
1,78
1,60
1,60
1,60
1,0
1,128
1,86
1,52
1,123
1,150
1,0
1,0
1,0
1,120
1,0
1,100
1,50
1,0
1,150
1,0
1,102
1,77
1,61
1,41
1,82
1,102
1,102
1,61
1,0
1,0
1,0
1,102
1,104
1,0
1,0
1,87
1,112
1,100
1,120
1,130
1,130
1,100
1,112
1,41
1,0
1,150
1,150
1,123
1,33
1,30
1,0
1,150
1,134
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,23
1,150
1,70
1,150
1,102
1,101
1,77
1,0
1,0
1,118
1,130
1,118
1,143
1,112
1,35
1,35
1,126
1,102
1,128
1,0
1,0
1,0
1,0
1,102
1,0
1,0
1,128
1,0
1,0
1,66
1,82
1,139
1,102
1,127
1,97
1,92
1,87
1,0
1,0
1,0
1,107
1,0
1,25
1,92
1,111
1,106
1,100
1,0
1,0
1,77
1,102
1,102
1,128
1,103
1,128
1,128
1,150
1,102
1,102
1,102
1,128
1,128
1,102
1,150
1,100
1,150
1,150
1,150
1,150
1,50
1,0
1,0
1,0
1,128
1,128
1,128
1,147
1,102
1,77
1,0
1,77
1,128
1,111
1,108
1,112
1,112
1,112
1,84
1,121
1,101
1,120
1,121
1,121
1,121
1,120
1,127
1,0
1,89
1,0
1,98
1,98
1,70
1,0
1,0
1,0
1,123
1,102
1,102
1,120
1,102
1,33
1,77
1,128
1,0
1,77
1,69
1,72
1,0
1,100
1,128
1,146
1,102
1,118
1,78
1,100
1,0
1,80
1,0
1,0
1,108
1,150
1,100
1,73
1,0
1,77
1,82
1,60
1,128
1,100
1,51
1,125
1,147
1,143
1,0
1,100
1,151
1,0
1,0
1,0
1,51
1,128
1,51
1,142
1,0
1,0
1,0
1,102
1,144
1,26
1,0
1,102
1,0
1,0
1,120
1,100
1,108
1,149
1,147
1,124
1,124
1,130
1,1
1,0
1,84
1,82
1,82
1,82
1,82
1,150
1,60
1,134
1,35
1,77
1,26
1,143
1,123
1,48
1,70
1,133
1,91
1,94
1,0
1,0
1,117
1,151
1,143
1,0
1,102
1,0
1,0
1,16
1,0
1,0
1,100
1,121
1,119
1,123
1,56
1,0
1,61
1,0
1,77
1,134
1,36
1,0
1,82
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,146
1,0
1,102
1,87
1,123
1,82
1,112
1,0
1,134
1,0
1,102
1,143
1,106
1,112
1,92
1,61
1,102
1,102
1,102
1,123
1,123
1,123
1,51
1,51
1,56
1,102
1,100
1,120
1,121
1,0
1,150
1,102
1,0
1,100
1,100
1,120
1,150
1,150
1,118
1,30
1,123
1,114
1,35
1,81
1,0
1,109
1,0
1,61
1,61
1,61
1,0
1,0
1,102
1,102
1,100
1,102
1,77
1,77
1,150
1,60
1,90
1,60
1,62
1,64
1,122
1,109
1,130
1,127
1,91
1,100
1,91
1,99
1,120
1,98
1,150
1,100
1,0
1,123
1,120
1,0
1,51
1,41
1,0
1,128
1,58
1,115
1,102
1,102
1,82
1,91
1,86
1,102
1,0
1,0
1,30
1,148
1,0
1,71
1,87
1,107
1,112
1,128
1,128
1,102
1,143
1,123
1,0
1,0
1,123
1,0
1,0
1,0
1,92
1,0
1,0
1,48
1,51
1,0
1,128
1,128
1,128
